PI,H,γ,Vs,αgR,PGA
27,35,14,261,0.15,0.26
40,64,24,466,0.55,0.55
12,54,13,300,0.8,0.37
1,90,16,451,0.35,0.26
49,12,20,534,0.7,0.88
44,55,22,344,0.6,0.46
38,24,12,635,0.4,0.57
28,88,14,107,0.45,0.07
48,53,19,361,0.95,0.63
44,31,13,510,1,1.41
22,35,22,530,0.85,0.9
13,92,21,536,0.3,0.33
19,19,13,249,0.95,0.66
10,51,15,588,0.75,0.72
36,57,22,314,0.15,0.18
58,39,18,400,0.8,0.88
12,25,14,177,0.25,0.22
13,52,18,634,0.45,0.65
45,66,20,263,0.5,0.38
45,17,19,633,0.25,0.32
2,73,16,205,0.55,0.14
47,93,14,432,0.65,0.49
7,45,21,334,0.3,0.3
34,20,19,188,0.75,0.48
31,27,21,572,0.7,0.84
49,15,20,574,0.35,0.55
13,87,15,417,0.75,0.33
40,37,17,302,0.6,0.53
9,77,17,203,0.85,0.11
8,19,18,625,0.05,0.07
9,26,22,238,0.2,0.22
30,31,24,636,0.45,0.49
1,99,16,145,0.95,0.06
53,65,21,216,0.75,0.21
13,47,12,567,0.35,0.55
26,68,17,165,0.25,0.12
52,42,23,561,0.8,0.81
17,78,14,595,0.75,0.64
27,59,18,438,0.1,0.15
59,38,22,437,0.7,0.67
23,12,21,313,0.8,0.96
57,32,24,209,0.5,0.53
50,18,13,139,0.75,0.37
25,91,18,546,0.6,0.45
56,20,19,555,0.1,0.12
32,17,13,125,0.7,0.28
11,45,13,117,0.8,0.07
7,82,19,521,0.5,0.49
25,38,22,193,0.15,0.18
52,55,13,299,0.15,0.2
40,36,19,208,0.75,0.32
6,95,14,626,0.5,0.49
32,21,17,630,0.25,0.35
39,45,13,597,0.15,0.23
41,67,17,217,0.7,0.18
34,64,21,256,0.65,0.25
4,72,20,252,0.1,0.09
1,28,23,296,1,0.39
48,69,17,325,0.2,0.23
21,88,14,423,0.4,0.42
10,20,13,112,0.05,0.08
21,76,22,330,1,0.28
33,52,19,422,0.9,0.66
17,63,15,628,0.15,0.2
57,37,22,447,0.5,0.82
11,67,13,280,0.85,0.3
19,94,17,161,0.05,0.06
27,66,12,601,0.4,0.63
44,54,20,565,0.55,0.8
32,86,18,327,0.3,0.25
16,42,21,140,0.2,0.15
53,96,19,619,0.05,0.06
17,62,23,213,0.1,0.09
10,71,17,250,0.15,0.16
22,22,14,186,0.35,0.31
23,93,16,513,1,0.53
21,81,20,273,0.7,0.18
7,78,15,319,0.75,0.2
48,30,24,127,0.95,0.21
1,20,21,442,0.6,0.74
6,38,12,134,0.5,0.14
42,89,18,151,0.2,0.13
2,61,18,609,0.85,0.64
28,59,17,376,0.55,0.59
57,13,13,152,0.95,0.62
55,88,12,501,1,0.71
25,95,14,464,0.15,0.21
51,27,17,512,0.05,0.08
57,54,17,226,0.6,0.28
56,17,13,377,0.3,0.32
12,90,20,453,0.8,0.42
19,15,15,307,0.3,0.32
55,21,23,590,0.8,0.87
17,80,19,289,0.85,0.28
28,50,21,585,0.7,0.65
20,40,19,262,0.7,0.35
27,49,22,503,0.7,0.72
